Date,Deaths ,X,Y,Pump,Street Name 
1854-10-22,1,-0.136153,51.512928,Broad street pump,Silver street
1854-10-29,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-11-05,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-11-12,8,-0.135368,51.514324,Broad street pump,Berwick street 
1854-11-19,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-11-26,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-12-03,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-12-10,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-12-17,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-12-24,0,-0.13952,51.505117,Broad street pump,No registered Fatality
1854-12-31,0,-0.13952,51.505117,Broad street pump,No registered Fatality
